# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-10/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-04 0.707064 0.0141468 7172207 0.65 200000 3 50 1000 5 2 2
sp-05 0.614173 0.0555441 7428207 0.65 200000 3 50 1000 5 2 2
sp-01 0.788733 0.0572334 6404209 0.65 200000 3 50 1000 5 2 2
sp-02 0.750759 0.289484 6660209 0.65 200000 3 50 1000 5 2 2
sp-07 0 0 7940207 0.5 200000 3 25 1000 5 2 4
sp-08 0 0 8196209 0.5 200000 3 25 1000 5 2 4
sp-06 0 0 7684209 0.5 200000 3 25 1000 5 2 4
sp-03 0 0 6916209 0.5 200000 3 25 1000 5 2 4
sp-04 0 0 7172207 0.5 200000 3 25 1000 5 2 4
sp-05 0 0 7428207 0.5 200000 3 25 1000 5 2 4
sp-01 0 0 6404209 0.5 200000 3 25 1000 5 2 4
sp-02 0 0 6660209 0.5 200000 3 25 1000 5 2 4
sp-07 0 0 7940207 0.5 200000 3 20 100 5 3 6
sp-08 0 0 8196209 0.5 200000 3 20 100 5 3 6
sp-06 0 0 7684209 0.5 200000 3 20 100 5 3 6
sp-03 0 0 6916209 0.5 200000 3 20 100 5 3 6
sp-04 0 0 7172207 0.5 200000 3 20 100 5 3 6
sp-05 0 0 7428207 0.5 200000 3 20 100 5 3 6
sp-01 0 0 6404209 0.5 200000 3 20 100 5 3 6
sp-02 0 0 6660209 0.5 200000 3 20 100 5 3 6
sp-07 0 0 7940207 0.5 50000 3 75 1000 5 2 4
sp-08 0 0 8196209 0.5 50000 3 75 1000 5 2 4
sp-06 0 0 7684209 0.5 50000 3 75 1000 5 2 4
sp-03 0 0 6916209 0.5 50000 3 75 1000 5 2 4
sp-04 0 0 7172207 0.5 50000 3 75 1000 5 2 4
sp-05 0 0 7428207 0.5 50000 3 75 1000 5 2 4
sp-01 0 0 6404209 0.5 50000 3 75 1000 5 2 4
sp-02 0 0 6660209 0.5 50000 3 75 1000 5 2 4
sp-07 0.648976 0.699809 7940207 0.5 200000 3 100 200 5 2 2
sp-08 0 0 8196209 0.5 200000 3 100 200 5 2 2
sp-06 0.577575 0.773467 7684209 0.5 200000 3 100 200 5 2 2
sp-03 0.718921 0.994855 6916209 0.5 200000 3 100 200 5 2 2
sp-04 0.70104 0.104386 7172207 0.5 200000 3 100 200 5 2 2
sp-05 0.663687 0.696182 7428207 0.5 200000 3 100 200 5 2 2
sp-01 0.654571 0.701384 6404209 0.5 200000 3 100 200 5 2 2
sp-02 0 0 6660209 0.5 200000 3 100 200 5 2 2
sp-07 0.66084 0.358794 7940207 0.65 100000 3 50 500 5 3 2
sp-08 0.508736 0.123741 8196209 0.65 100000 3 50 500 5 3 2
sp-06 0.69639 0.463924 7684209 0.65 100000 3 50 500 5 3 2
sp-03 0.79136 0.355451 6916209 0.65 100000 3 50 500 5 3 2
sp-04 0.756979 0.091896 7172207 0.65 100000 3 50 500 5 3 2
sp-05 0.742334 0.0647237 7428207 0.65 100000 3 50 500 5 3 2
sp-01 0.745792 0.0299008 6404209 0.65 100000 3 50 500 5 3 2
sp-02 0.804436 0.106852 6660209 0.65 100000 3 50 500 5 3 2
sp-07 0 0 7940207 0.65 200000 3 100 100 5 2 6
sp-08 0 0 8196209 0.65 200000 3 100 100 5 2 6
sp-06 0 0 7684209 0.65 200000 3 100 100 5 2 6
sp-03 0 0 6916209 0.65 200000 3 100 100 5 2 6
sp-04 0 0 7172207 0.65 200000 3 100 100 5 2 6
sp-05 0 0 7428207 0.65 200000 3 100 100 5 2 6
sp-01 0 0 6404209 0.65 200000 3 100 100 5 2 6
sp-02 0 0 6660209 0.65 200000 3 100 100 5 2 6
sp-07 0 0 7940207 0.5 100000 3 10 1000 5 3 4
sp-08 0 0 8196209 0.5 100000 3 10 1000 5 3 4
sp-06 0 0 7684209 0.5 100000 3 10 1000 5 3 4
sp-03 0 0 6916209 0.5 100000 3 10 1000 5 3 4
sp-04 0 0 7172207 0.5 100000 3 10 1000 5 3 4
sp-05 0 0 7428207 0.5 100000 3 10 1000 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 1000 5 3 4
sp-02 0.0135131 0.0031999 6660209 0.5 100000 3 10 1000 5 3 4
sp-07 0 0 7940207 0.5 100000 3 20 500 5 2 6
sp-08 0 0 8196209 0.5 100000 3 20 500 5 2 6
sp-06 0 0 7684209 0.5 100000 3 20 500 5 2 6
sp-03 0 0 6916209 0.5 100000 3 20 500 5 2 6
sp-04 0 0 7172207 0.5 100000 3 20 500 5 2 6
sp-05 0 0 7428207 0.5 100000 3 20 500 5 2 6
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 6
sp-02 0.0135131 0.0031999 6660209 0.5 100000 3 20 500 5 2 6
sp-07 0 0 7940207 0.65 200000 3 25 100 5 3 4
sp-08 0 0 8196209 0.65 200000 3 25 100 5 3 4
sp-06 0 0 7684209 0.65 200000 3 25 100 5 3 4
sp-03 0 0 6916209 0.65 200000 3 25 100 5 3 4
sp-04 0 0 7172207 0.65 200000 3 25 100 5 3 4
sp-05 0 0 7428207 0.65 200000 3 25 100 5 3 4
sp-01 0 0 6404209 0.65 200000 3 25 100 5 3 4
sp-02 0 0 6660209 0.65 200000 3 25 100 5 3 4
sp-07 0 0 7940207 0.5 100000 3 75 200 5 3 6
sp-08 0 0 8196209 0.5 100000 3 75 200 5 3 6
sp-06 0 0 7684209 0.5 100000 3 75 200 5 3 6
sp-03 0 0 6916209 0.5 100000 3 75 200 5 3 6
sp-04 0 0 7172207 0.5 100000 3 75 200 5 3 6
sp-05 0 0 7428207 0.5 100000 3 75 200 5 3 6
sp-01 0 0 6404209 0.5 100000 3 75 200 5 3 6
sp-02 0.0127624 0.000533316 6660209 0.5 100000 3 75 200 5 3 6
sp-07 0.604229 0.809311 7940207 0.65 200000 3 20 500 5 2 2
sp-08 0.37892 0.069992 8196209 0.65 200000 3 20 500 5 2 2
sp-06 0.665678 0.165471 7684209 0.65 200000 3 20 500 5 2 2
sp-03 0.636651 0.31062 6916209 0.65 200000 3 20 500 5 2 2
